param-n abstract+autorewrite-regression-quadratic-real abstract+autorewrite-regression-quadratic-sys abstract+autorewrite-regression-quadratic-user abstract+rewrite!-regression-quadratic-real abstract+rewrite!-regression-quadratic-sys abstract+rewrite!-regression-quadratic-user autorewrite-noop-regression-linear-real autorewrite-noop-regression-linear-sys autorewrite-noop-regression-linear-user autorewrite-regression-quadratic-real autorewrite-regression-quadratic-sys autorewrite-regression-quadratic-user close-abstract+autorewrite-regression-quadratic-real close-abstract+autorewrite-regression-quadratic-sys close-abstract+autorewrite-regression-quadratic-user close-abstract+rewrite!-regression-quadratic-real close-abstract+rewrite!-regression-quadratic-sys close-abstract+rewrite!-regression-quadratic-user rewrite!-regression-quadratic-real rewrite!-regression-quadratic-sys rewrite!-regression-quadratic-user rewrite?-noop-regression-linear-real rewrite?-noop-regression-linear-sys rewrite?-noop-regression-linear-user
120 0.337 0.003 0.333 0.383 0. 0.382 0.001 0. 0.001 0.201 0.003 0.197 0.132 0. 0.132 0.155 0. 0.155 0.223 0. 0.223 0.002 0. 0.002
130 0.383 0.003 0.379 0.399 0. 0.399 0.001 0. 0.001 0.219 0.003 0.215 0.16 0. 0.16 0.161 0. 0.161 0.235 0. 0.234 0.002 0. 0.002
140 0.445 0. 0.445 0.455 0. 0.454 0.001 0. 0.001 0.258 0. 0.258 0.184 0. 0.184 0.19 0. 0.19 0.261 0. 0.261 0.002 0. 0.002
150 0.532 0.003 0.529 0.537 0.004 0.533 0.002 0. 0.002 0.315 0.003 0.311 0.215 0. 0.215 0.225 0.003 0.221 0.308 0. 0.308 0.002 0. 0.002
160 0.588 0.01 0.578 0.628 0.007 0.62 0.002 0. 0.002 0.346 0.008 0.337 0.238 0. 0.238 0.278 0.004 0.274 0.345 0.003 0.341 0.002 0. 0.002
170 0.645 0.003 0.641 0.651 0. 0.65 0.002 0. 0.002 0.377 0.003 0.373 0.264 0. 0.264 0.262 0. 0.262 0.383 0. 0.383 0.003 0. 0.003
180 0.744 0.004 0.74 0.701 0.003 0.697 0.002 0. 0.002 0.447 0.003 0.443 0.292 0. 0.292 0.286 0.003 0.282 0.41 0. 0.41 0.002 0. 0.002
190 0.788 0.008 0.779 0.793 0.004 0.788 0.003 0. 0.003 0.47 0.008 0.461 0.313 0. 0.313 0.304 0. 0.304 0.483 0.004 0.479 0.002 0. 0.002
200 0.951 0.003 0.947 0.94 0.012 0.926 0.008 0. 0.008 0.544 0. 0.543 0.397 0.003 0.394 0.382 0.003 0.378 0.554 0.008 0.543 0.003 0. 0.002
210 0.936 0.003 0.932 0.977 0.004 0.972 0.003 0. 0.003 0.556 0.003 0.552 0.375 0. 0.375 0.378 0. 0.378 0.593 0.004 0.588 0.004 0. 0.004
220 1.092 0. 1.092 1.145 0. 1.144 0.003 0. 0.003 0.653 0. 0.653 0.433 0. 0.433 0.465 0. 0.465 0.673 0. 0.673 0.004 0. 0.004
230 1.255 0. 1.255 1.308 0. 1.307 0.003 0. 0.003 0.725 0. 0.724 0.525 0. 0.525 0.492 0. 0.492 0.808 0. 0.808 0.004 0. 0.004
240 1.344 0. 1.343 1.288 0. 1.288 0.004 0. 0.004 0.819 0. 0.819 0.517 0. 0.517 0.502 0. 0.501 0.78 0. 0.78 0.004 0. 0.004
