param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
99 0.283 0. 0.283 0.167 0. 0.167 0.095 0. 0.095 0.069 0. 0.069 0.185 0. 0.185 0.001 0. 0.001 0.095 0. 0.095 0.001 0. 0.001
100 0.309 0.003 0.305 0.17 0. 0.17 0.098 0. 0.098 0.074 0. 0.074 0.209 0.003 0.206 0.001 0. 0.001 0.094 0. 0.094 0.001 0. 0.001
110 0.346 0. 0.346 0.22 0. 0.22 0.121 0. 0.121 0.1 0. 0.1 0.221 0. 0.221 0.001 0. 0.001 0.117 0. 0.117 0.001 0. 0.001
120 0.401 0. 0.401 0.263 0. 0.263 0.14 0. 0.14 0.112 0. 0.112 0.257 0. 0.257 0.001 0. 0.001 0.147 0. 0.147 0.001 0. 0.001
130 0.504 0. 0.504 0.318 0. 0.318 0.191 0. 0.191 0.138 0. 0.138 0.309 0. 0.309 0.001 0. 0.001 0.176 0. 0.176 0.001 0. 0.001
140 0.59 0. 0.59 0.363 0. 0.363 0.22 0. 0.22 0.157 0. 0.157 0.366 0. 0.366 0.001 0. 0.001 0.202 0. 0.202 0.002 0. 0.002
150 0.688 0.003 0.685 0.426 0.007 0.418 0.236 0.003 0.232 0.179 0.003 0.176 0.45 0. 0.45 0.002 0. 0.002 0.243 0.003 0.239 0.002 0. 0.001
160 0.788 0. 0.788 0.474 0.003 0.47 0.278 0. 0.277 0.205 0.003 0.201 0.506 0. 0.506 0.002 0. 0.002 0.265 0. 0.265 0.002 0. 0.002
170 0.832 0.011 0.819 0.502 0.006 0.495 0.284 0.004 0.28 0.207 0. 0.207 0.544 0.007 0.534 0.002 0. 0.002 0.29 0.005 0.284 0.002 0. 0.002
180 0.945 0.011 0.933 0.576 0.003 0.572 0.312 0.003 0.308 0.235 0. 0.235 0.628 0.007 0.62 0.002 0. 0.002 0.336 0.003 0.332 0.003 0. 0.003
